===============================================================================
EXTENSION NAME : linecounter
EXTENSION VERSION : 0.2.7
-------------------------------------------------------------------------------
count time : 2020-07-16 18:01:08
count workspace : /home/prateksha/Desktop/IIITB/Semester_6/ProgrammingLanguages/Project/PSimilarity/Proposed_Work/HackerRank/python-loops/Correct
total files : 100
total code lines : 334
total comment lines : 87
total blank lines : 46

    statistics
   |      extension|     total code|  total comment|    total blank|percent|
   -------------------------------------------------------------------------
   |            .py|            334|             87|             46| 1.0e+2|
   -------------------------------------------------------------------------
001.py, code is 3, comment is 0, blank is 0.
002.py, code is 5, comment is 1, blank is 0.
003.py, code is 3, comment is 1, blank is 0.
004.py, code is 3, comment is 1, blank is 0.
005.py, code is 3, comment is 1, blank is 1.
006.py, code is 5, comment is 1, blank is 0.
007.py, code is 3, comment is 1, blank is 1.
008.py, code is 3, comment is 1, blank is 0.
009.py, code is 3, comment is 1, blank is 1.
010.py, code is 3, comment is 0, blank is 1.
011.py, code is 3, comment is 1, blank is 1.
012.py, code is 3, comment is 1, blank is 0.
013.py, code is 3, comment is 0, blank is 1.
014.py, code is 3, comment is 1, blank is 0.
015.py, code is 3, comment is 1, blank is 1.
016.py, code is 6, comment is 1, blank is 1.
017.py, code is 3, comment is 1, blank is 2.
018.py, code is 6, comment is 0, blank is 1.
019.py, code is 3, comment is 1, blank is 1.
020.py, code is 3, comment is 0, blank is 0.
021.py, code is 3, comment is 0, blank is 0.
022.py, code is 5, comment is 1, blank is 1.
023.py, code is 2, comment is 1, blank is 0.
024.py, code is 5, comment is 1, blank is 0.
025.py, code is 2, comment is 0, blank is 0.
026.py, code is 3, comment is 1, blank is 0.
027.py, code is 3, comment is 1, blank is 0.
028.py, code is 3, comment is 1, blank is 0.
029.py, code is 4, comment is 1, blank is 0.
030.py, code is 3, comment is 1, blank is 0.
031.py, code is 3, comment is 1, blank is 0.
032.py, code is 3, comment is 1, blank is 0.
033.py, code is 4, comment is 1, blank is 0.
034.py, code is 3, comment is 1, blank is 0.
035.py, code is 3, comment is 0, blank is 0.
036.py, code is 3, comment is 1, blank is 0.
037.py, code is 2, comment is 1, blank is 0.
038.py, code is 2, comment is 1, blank is 0.
039.py, code is 3, comment is 1, blank is 0.
040.py, code is 3, comment is 1, blank is 0.
041.py, code is 3, comment is 1, blank is 1.
042.py, code is 1, comment is 1, blank is 0.
043.py, code is 4, comment is 1, blank is 0.
044.py, code is 3, comment is 1, blank is 2.
045.py, code is 3, comment is 1, blank is 1.
046.py, code is 2, comment is 1, blank is 0.
047.py, code is 2, comment is 1, blank is 0.
048.py, code is 3, comment is 1, blank is 0.
049.py, code is 3, comment is 1, blank is 0.
050.py, code is 5, comment is 1, blank is 0.
051.py, code is 3, comment is 1, blank is 1.
052.py, code is 7, comment is 1, blank is 0.
053.py, code is 2, comment is 1, blank is 0.
054.py, code is 3, comment is 1, blank is 0.
055.py, code is 7, comment is 0, blank is 1.
056.py, code is 3, comment is 0, blank is 0.
057.py, code is 3, comment is 1, blank is 0.
058.py, code is 3, comment is 1, blank is 3.
059.py, code is 3, comment is 1, blank is 1.
060.py, code is 5, comment is 1, blank is 0.
061.py, code is 5, comment is 2, blank is 0.
062.py, code is 3, comment is 0, blank is 0.
063.py, code is 3, comment is 1, blank is 1.
064.py, code is 3, comment is 1, blank is 0.
065.py, code is 3, comment is 1, blank is 2.
066.py, code is 1, comment is 0, blank is 0.
067.py, code is 5, comment is 1, blank is 0.
068.py, code is 3, comment is 1, blank is 0.
069.py, code is 3, comment is 1, blank is 1.
070.py, code is 3, comment is 1, blank is 0.
071.py, code is 5, comment is 1, blank is 0.
072.py, code is 3, comment is 1, blank is 0.
073.py, code is 4, comment is 1, blank is 3.
074.py, code is 4, comment is 1, blank is 0.
075.py, code is 5, comment is 1, blank is 0.
076.py, code is 2, comment is 0, blank is 0.
077.py, code is 3, comment is 1, blank is 1.
078.py, code is 3, comment is 1, blank is 0.
079.py, code is 3, comment is 1, blank is 1.
080.py, code is 3, comment is 1, blank is 1.
081.py, code is 5, comment is 1, blank is 0.
082.py, code is 2, comment is 1, blank is 1.
083.py, code is 3, comment is 1, blank is 2.
084.py, code is 3, comment is 1, blank is 0.
085.py, code is 3, comment is 1, blank is 0.
086.py, code is 3, comment is 1, blank is 1.
087.py, code is 3, comment is 1, blank is 0.
088.py, code is 3, comment is 1, blank is 0.
089.py, code is 6, comment is 1, blank is 4.
090.py, code is 3, comment is 1, blank is 1.
091.py, code is 5, comment is 1, blank is 0.
092.py, code is 3, comment is 1, blank is 1.
093.py, code is 3, comment is 1, blank is 0.
094.py, code is 3, comment is 1, blank is 0.
095.py, code is 3, comment is 1, blank is 0.
096.py, code is 4, comment is 1, blank is 0.
097.py, code is 3, comment is 1, blank is 2.
098.py, code is 3, comment is 1, blank is 1.
099.py, code is 3, comment is 0, blank is 0.
100.py, code is 3, comment is 1, blank is 0.
===============================================================================
