"File1","File2","Sim",
"ref.py","1.py",0.275,
"ref.py","2.py",0.225,
"ref.py","3.py",0.475,
"ref.py","4.py",0.275,
"ref.py","5.py",0.275,
"ref.py","6.py",0.025,
"ref.py","7.py",0.275,
"ref.py","8.py",0.275,
"ref.py","9.py",0.275,
"ref.py","10.py",0,"Here, rubrics are not considered and this does not preserve any structure of the reference solution"
"ref.py","11.py",0.275,
"ref.py","12.py",0.475,
"ref.py","13.py",0.275,
"ref.py","14.py",0.475,
"ref.py","15.py",0.275,
"ref.py","16.py",0.425,
"ref.py","17.py",0.275,
"ref.py","18.py",0.025,
"ref.py","19.py",0.275,
"ref.py","20.py",0.275,
"ref.py","21.py",0.25,
"ref.py","22.py",0,
"ref.py","23.py",0.475,
"ref.py","24.py",0.225,
"ref.py","25.py",0.275,
"ref.py","26.py",0.275,
"ref.py","27.py",0.275,
"ref.py","28.py",0.275,
"ref.py","29.py",0.475,
"ref.py","30.py",0.475,
"ref.py","31.py",0.275,
"ref.py","32.py",0.275,
"ref.py","33.py",0.25,
"ref.py","34.py",0.275,
"ref.py","35.py",0.475,
"ref.py","36.py",0.275,
"ref.py","37.py",0.275,
"ref.py","38.py",0.275,
"ref.py","39.py",0.275,
"ref.py","40.py",0.275,
"ref.py","41.py",0.275,
"ref.py","42.py",0.275,
"ref.py","43.py",0.175,
"ref.py","44.py",0.275,
"ref.py","45.py",0.275,
"ref.py","46.py",0.475,
"ref.py","47.py",0.275,
"ref.py","48.py",0.475,
"ref.py","49.py",0.475,
"ref.py","50.py",0.225,
"ref.py","51.py",0.275,
"ref.py","52.py",0,
"ref.py","53.py",0.225,
"ref.py","54.py",0.275,
"ref.py","55.py",0,"Here, rubrics are not considered and this does not preserve any structure of the reference solution"
"ref.py","56.py",0.275,
"ref.py","57.py",0.475,
"ref.py","58.py",0.275,
"ref.py","59.py",0.275,
"ref.py","60.py",0.425,
"ref.py","61.py",0.425,
"ref.py","62.py",,"62 is an empty file"
"ref.py","63.py",0.275,
"ref.py","64.py",0.275,
"ref.py","65.py",0.475,
"ref.py","66.py",0.275,
"ref.py","67.py",0,"Here, rubrics are not considered and this does not preserve any structure of the reference solution"
"ref.py","68.py",0.425,
"ref.py","69.py",0.275,
"ref.py","70.py",0.275,
"ref.py","71.py",0.475,
"ref.py","72.py",0.425,
"ref.py","73.py",0.275,
"ref.py","74.py",0,
"ref.py","75.py",0.475,
"ref.py","76.py",0.225,
"ref.py","77.py",0.475,
"ref.py","78.py",0.275,
"ref.py","79.py",0.475,
"ref.py","80.py",0.475,
"ref.py","81.py",0.475,
"ref.py","82.py",0.425,
"ref.py","83.py",0.275,
"ref.py","84.py",0.275,
"ref.py","85.py",0.475,
"ref.py","86.py",0.275,
"ref.py","87.py",0.275,
"ref.py","88.py",0.275,
"ref.py","89.py",0.475,
"ref.py","90.py",0.4,
"ref.py","91.py",0.275,
"ref.py","92.py",0.225,
"ref.py","93.py",0.275,
"ref.py","94.py",0.275,
"ref.py","95.py",0.275,
"ref.py","96.py",0.475,
"ref.py","97.py",1,
"ref.py","98.py",0.275,
"ref.py","99.py",0.275,
"ref.py","100.py",0.275,
"ref.py","101.py",0.275,
"ref.py","102.py",0.475,
"ref.py","103.py",0.225,
"ref.py","104.py",0,
"ref.py","105.py",0.275,
"ref.py","106.py",0.475,
"ref.py","107.py",0.675,
"ref.py","108.py",0,
"ref.py","109.py",0.275,
"ref.py","110.py",0.975,
"ref.py","111.py",,"wrong submission"
"ref.py","112.py",0.275,
"ref.py","113.py",0.275,
"ref.py","114.py",0.275,
"ref.py","115.py",0.275,
"ref.py","116.py",0.475,
"ref.py","117.py",0.275,
"ref.py","118.py",0.275,
"ref.py","119.py",0.275,
"ref.py","120.py",0.475,
"ref.py","121.py",0.275,
"ref.py","122.py",0.275,
"ref.py","123.py",0.275,
"ref.py","124.py",0.475,
"ref.py","125.py",0.275,
"ref.py","126.py",0,
"ref.py","127.py",0.275,
"ref.py","128.py",0.275,
"ref.py","129.py",0.175,
"ref.py","130.py",0.275,
"ref.py","131.py",0.225,
"ref.py","132.py",0.275,
"ref.py","133.py",0.475,
"ref.py","134.py",0.275,
"ref.py","135.py",0.275,
"ref.py","136.py",0.275,
"ref.py","137.py",0.275,
"ref.py","138.py",0.275,
"ref.py","139.py",0.225,
"ref.py","140.py",0.275,
"ref.py","141.py",0.275,
"ref.py","142.py",0.475,
"ref.py","143.py",0,
"ref.py","144.py",0,
"ref.py","145.py",0.275,
"ref.py","146.py",0.475,
"ref.py","147.py",0.275,
"ref.py","148.py",0.275,
"ref.py","149.py",0.275,
"ref.py","150.py",0.275,
"ref.py","151.py",0.275,
"ref.py","152.py",0,
"ref.py","153.py",0.25,
"ref.py","154.py",0,
"ref.py","155.py",0.275,
"ref.py","156.py",0,
"ref.py","157.py",0.275,
"ref.py","158.py",0.475,
"ref.py","159.py",0.475,
"ref.py","160.py",0,
"ref.py","161.py",0,
"ref.py","162.py",0.275,
"ref.py","163.py",0.175,
"ref.py","164.py",0.475,
"ref.py","165.py",0.275,
"ref.py","166.py",0.475,
"ref.py","167.py",0.275,
"ref.py","168.py",0.275,
"ref.py","169.py",0.275,
"ref.py","170.py",0.275,
"ref.py","171.py",0.275,
"ref.py","172.py",0.275,
"ref.py","173.py",0.275,
"ref.py","174.py",0.475,
"ref.py","175.py",0.475,
"ref.py","176.py",0.275,
"ref.py","177.py",0.275,
"ref.py","178.py",0.8,
"ref.py","179.py",0.275,
"ref.py","180.py",0.275,
"ref.py","181.py",0.475,
"ref.py","182.py",0.275,
"ref.py","183.py",0,
"ref.py","184.py",0.45,
"ref.py","185.py",0.275,
"ref.py","186.py",0.8,
"ref.py","187.py",0.275,
"ref.py","188.py",0.25,
"ref.py","189.py",0.275,
"ref.py","190.py",0.275,
"ref.py","191.py",0.275,
"ref.py","192.py",0.275,
"ref.py","193.py",0.475,
"ref.py","194.py",0.275,
"ref.py","195.py",0,
"ref.py","196.py",0,
"ref.py","197.py",0.475,
"ref.py","198.py",0.275,
"ref.py","199.py",0.275,
"ref.py","200.py",0.475,
"ref.py","201.py",0.275,
"ref.py","202.py",0.275,
"ref.py","203.py",0.275,
"ref.py","204.py",0,
"ref.py","205.py",0.775,
"ref.py","206.py",0.475,
"ref.py","207.py",0.475,
"ref.py","208.py",0.275,
"ref.py","209.py",0.475,
"ref.py","210.py",0.275,
"ref.py","211.py",1,
"ref.py","212.py",0.275,
"ref.py","213.py",0.675,
"ref.py","214.py",0.475,
"ref.py","215.py",0.275,
"ref.py","216.py",0,
"ref.py","217.py",1,
"ref.py","218.py",0.275,
"ref.py","219.py",0,
"ref.py","220.py",0.8,
"ref.py","221.py",0.275,
"ref.py","222.py",0.475,
"ref.py","223.py",0.275,
"ref.py","224.py",0.475,
"ref.py","225.py",0.275,
"ref.py","226.py",0.475,
"ref.py","227.py",0.275,
"ref.py","228.py",0.475,
"ref.py","229.py","EMPTY SUBMISSION",
"ref.py","230.py",0.275,
"ref.py","231.py",0.475,
"ref.py","232.py",0.275,
"ref.py","233.py",0,
"ref.py","234.py",0.275,
"ref.py","235.py",0.275,
"ref.py","236.py",0.475,
"ref.py","237.py",0.275,
"ref.py","238.py",0.275,
"ref.py","239.py",0.475,
"ref.py","240.py",0.275,
"ref.py","241.py",0.475,
"ref.py","242.py",0.275,
"ref.py","243.py",0.275,
"ref.py","244.py",0.275,
"ref.py","245.py",0,
"ref.py","246.py",0.275,
"ref.py","247.py",0.275,
"ref.py","248.py",0.475,
"ref.py","249.py",0.275,
"ref.py","250.py",0.475,
"ref.py","251.py",0.475,
"ref.py","252.py",0.475,
"ref.py","253.py",0.275,
"ref.py","254.py",0.475,
"ref.py","255.py",0.225,
"ref.py","256.py",0.275,
"ref.py","257.py",0.275,
"ref.py","258.py",0.475,
"ref.py","259.py",0.275,
"ref.py","260.py",0.675,
"ref.py","261.py",0.425,
"ref.py","262.py",0.475,
"ref.py","263.py",0.275,
"ref.py","264.py",0.475,
"ref.py","265.py",0.475,
"ref.py","266.py",0.475,
"ref.py","267.py",0,
"ref.py","268.py",0.475,
"ref.py","269.py",0.275,
"ref.py","270.py",0.275,
"ref.py","271.py",0.275,
"ref.py","272.py",0.275,
"ref.py","273.py",0,
"ref.py","274.py",0,
"ref.py","275.py",0.275,
"ref.py","276.py",0.275,
"ref.py","277.py",0.275,
"ref.py","278.py",0.275,
"ref.py","279.py",0,
"ref.py","280.py",0.475,
"ref.py","281.py",0.225,
"ref.py","282.py",0.475,
"ref.py","283.py",0.45,
"ref.py","284.py",0.475,
"ref.py","285.py",0.275,
"ref.py","286.py",0.275,
"ref.py","287.py",0.475,
"ref.py","288.py",0.475,
"ref.py","289.py",0.275,
"ref.py","290.py",0.275,
"ref.py","291.py",0.8,
"ref.py","292.py",0.275,
"ref.py","293.py",0.475,
"ref.py","294.py",0.275,
"ref.py","295.py",0.275,
"ref.py","296.py",0.475,
"ref.py","297.py",0.275,
"ref.py","298.py",0.475,
"ref.py","299.py",0.275,
"ref.py","300.py",0.475,
"ref.py","301.py",0.475,
"ref.py","302.py",0.275,
"ref.py","303.py",0.475,
"ref.py","304.py",0.475,
"ref.py","305.py",0.275,
"ref.py","306.py",0,
"ref.py","307.py",0.275,
"ref.py","308.py",0.275,
"ref.py","309.py",0.275,
"ref.py","310.py",0.475,
"ref.py","311.py",0.275,
"ref.py","312.py",0.275,
"ref.py","313.py",0,
"ref.py","314.py",0,
"ref.py","315.py",0,
"ref.py","316.py",0.275,
"ref.py","317.py",0.475,
"ref.py","318.py",0,
"ref.py","319.py",0.275,
"ref.py","320.py",0,
"ref.py","321.py",0.275,
"ref.py","322.py",0,
"ref.py","323.py",0,
"ref.py","324.py",0.475,
"ref.py","325.py",0.275,
"ref.py","326.py",0.475,
"ref.py","327.py",0.275,
"ref.py","328.py",1,
"ref.py","329.py",0.275,
"ref.py","330.py",0,
"ref.py","331.py",0.225,
"ref.py","332.py",0,
"ref.py","333.py",0.45,
"ref.py","334.py",0.475,
"ref.py","335.py",0.275,
"ref.py","336.py",0.475,
"ref.py","337.py",0,
"ref.py","338.py",0,
"ref.py","339.py",0.275,
"ref.py","340.py",0,
"ref.py","341.py",0.275,
"ref.py","342.py",0.275,
"ref.py","343.py",0.275,
"ref.py","344.py",0.275,
"ref.py","345.py",0.25,
"ref.py","346.py",0.475,
"ref.py","347.py",0.475,
"ref.py","348.py",1,
"ref.py","349.py",0,
"ref.py","350.py",0.275,
"ref.py","351.py",0.275,
"ref.py","352.py",0.475,
"ref.py","353.py",0.475,
"ref.py","354.py",0.475,
"ref.py","355.py",0,
"ref.py","356.py",0.275,
"ref.py","357.py",0.275,
"ref.py","358.py",0.475,
"ref.py","359.py",0,
"ref.py","360.py",0.275,
"ref.py","361.py",0.275,
"ref.py","362.py",0.475,
"ref.py","363.py",0.475,
"ref.py","364.py",0.275,
"ref.py","365.py",0.475,
"ref.py","366.py",0.275,
"ref.py","367.py",0.475,
"ref.py","368.py",0.475,
"ref.py","369.py",0,
"ref.py","370.py",0.45,
"ref.py","371.py",0.275,
"ref.py","372.py",0.275,
"ref.py","373.py",0.475,
"ref.py","374.py",0.275,
"ref.py","375.py",0.225,
"ref.py","376.py",0.275,
"ref.py","377.py",0.275,
"ref.py","378.py",0.275,
"ref.py","379.py",0.275,
"ref.py","380.py",0.275,
"ref.py","381.py",0,
"ref.py","382.py",0.275,
"ref.py","383.py",0,
"ref.py","384.py",0.225,
"ref.py","385.py",0.25,
"ref.py","386.py",0.275,
"ref.py","387.py",0.275,
"ref.py","388.py",0.275,
"ref.py","389.py",0.975,
"ref.py","390.py",0.275,
"ref.py","391.py",0.475,
"ref.py","392.py",0.275,
"ref.py","393.py",0.475,
"ref.py","394.py",0.45,
"ref.py","395.py",0,
"ref.py","396.py",0.275,
"ref.py","397.py",0.275,
"ref.py","398.py",0.475,
"ref.py","399.py",0.275,
"ref.py","400.py",0.275,
"ref.py","401.py",0.475,
"ref.py","402.py",0.275,
