File1,File2,Sim
,,
word-score-ref.py,1.py,1
word-score-ref.py,2.py,1
word-score-ref.py,3.py,1
word-score-ref.py,4.py,1
word-score-ref.py,5.py,1
word-score-ref.py,6.py,0.2
word-score-ref.py,7.py,1
word-score-ref.py,8.py,0.95
word-score-ref.py,9.py,1
word-score-ref.py,10.py,1
word-score-ref.py,11.py,1
word-score-ref.py,12.py,0.15
word-score-ref.py,13.py,1
word-score-ref.py,14.py,1
word-score-ref.py,15.py,0.15
word-score-ref.py,16.py,1
word-score-ref.py,17.py,1
word-score-ref.py,18.py,1
word-score-ref.py,19.py,1
word-score-ref.py,20.py,1
word-score-ref.py,21.py,1
word-score-ref.py,22.py,1
word-score-ref.py,23.py,1
word-score-ref.py,24.py,1
word-score-ref.py,25.py,1
word-score-ref.py,26.py,1
word-score-ref.py,27.py,1
word-score-ref.py,28.py,1
word-score-ref.py,29.py,1
word-score-ref.py,30.py,1
word-score-ref.py,31.py,1
word-score-ref.py,32.py,1
word-score-ref.py,33.py,1
word-score-ref.py,34.py,1
word-score-ref.py,35.py,1
word-score-ref.py,36.py,0.9
word-score-ref.py,37.py,1
word-score-ref.py,38.py,1
word-score-ref.py,39.py,1
word-score-ref.py,40.py,0.95
word-score-ref.py,41.py,1
word-score-ref.py,42.py,1
word-score-ref.py,43.py,1
word-score-ref.py,44.py,1
word-score-ref.py,45.py,1
word-score-ref.py,46.py,1
word-score-ref.py,47.py,1
word-score-ref.py,48.py,1
word-score-ref.py,49.py,1
word-score-ref.py,50.py,0.75
word-score-ref.py,51.py,1
word-score-ref.py,52.py,1
word-score-ref.py,53.py,1
word-score-ref.py,54.py,1
word-score-ref.py,55.py,1
word-score-ref.py,56.py,1
word-score-ref.py,57.py,1
word-score-ref.py,58.py,1
word-score-ref.py,59.py,1
word-score-ref.py,60.py,1
word-score-ref.py,61.py,1
word-score-ref.py,62.py,1
word-score-ref.py,63.py,1
word-score-ref.py,64.py,0.3
word-score-ref.py,65.py,1
word-score-ref.py,66.py,1
word-score-ref.py,67.py,1
word-score-ref.py,68.py,1
word-score-ref.py,69.py,1
word-score-ref.py,70.py,0
word-score-ref.py,71.py,1
word-score-ref.py,72.py,1
word-score-ref.py,73.py,1
word-score-ref.py,74.py,1
word-score-ref.py,75.py,0.15
word-score-ref.py,76.py,1
word-score-ref.py,77.py,1
word-score-ref.py,78.py,1
word-score-ref.py,79.py,1
word-score-ref.py,80.py,1
word-score-ref.py,81.py,1
word-score-ref.py,82.py,1
word-score-ref.py,83.py,1
word-score-ref.py,84.py,1
word-score-ref.py,85.py,1
word-score-ref.py,86.py,1
word-score-ref.py,87.py,1
word-score-ref.py,88.py,1
word-score-ref.py,89.py,0.15
word-score-ref.py,90.py,1
word-score-ref.py,91.py,1
word-score-ref.py,92.py,1
word-score-ref.py,93.py,1
word-score-ref.py,94.py,1
word-score-ref.py,95.py,0.15
word-score-ref.py,96.py,1
word-score-ref.py,97.py,1
word-score-ref.py,98.py,1
word-score-ref.py,99.py,0.95
word-score-ref.py,100.py,1
